Sample,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,LD1,LD2,Ancestry_Q1,Ancestry_Q2,Ancestry_Q3
184,1,2,2,-49.543740,18.008060,9.351563,-20.318577,-2.719725,17.913189,-14.645037,8.152676,0.905830,-0.805038,-3.316165,-52.602403,0.041906,0.957678,0.000416
185,2,Noise,1,24.135273,-11.730933,-5.015618,20.624118,-28.412134,23.339116,37.196428,20.282912,16.080046,-6.185496,-2.049694,26.026168,0.664843,0.334887,0.000270
186,1,2,1,2.611877,-8.482379,-0.398888,12.348591,5.137925,-8.812782,-16.326005,-16.321521,-12.095160,0.702372,-8.195605,5.494902,0.951510,0.048459,0.000031
187,1,Noise,2,-9.196880,8.653484,13.351965,-43.407206,8.932556,10.653561,-2.375525,16.996166,9.167513,5.137539,2.384168,-12.193449,0.055188,0.940120,0.004692
188,3,Noise,3,-12.508856,96.505527,40.318511,-2.147144,45.263789,22.486447,32.228738,-0.154417,-49.383733,15.828814,87.526794,-43.380042,0.000000,0.000000,1.000000
189,1,2,1,-6.561767,-9.396378,7.974807,-36.686991,6.197260,-9.527968,1.096385,-1.196193,7.132008,8.347705,-10.862869,-2.914193,0.804439,0.195474,0.000086
19,1,2,1,-41.706892,-6.338962,0.178544,7.102232,-2.268439,3.188318,-3.759062,1.794914,0.692447,1.581847,-18.706766,-38.123581,0.969681,0.030318,0.000001
190,2,Noise,2,34.130003,-23.627835,9.223247,-55.521285,9.951544,-25.155075,26.227692,-5.729267,11.110971,-6.174376,-6.819829,41.122518,0.012074,0.987724,0.000202
191,1,2,1,-17.775036,-3.195333,-1.800872,7.553703,-0.507822,-1.077463,-12.884197,-15.580485,-0.936121,11.897267,-10.223487,-15.128145,0.976750,0.023238,0.000011
192,1,Noise,1,-3.931792,1.136896,9.814357,-53.986698,-6.071348,-15.462569,5.996594,-4.347074,-3.413399,23.285192,-1.419134,-2.936731,0.525497,0.473744,0.000759
193,1,2,1,-9.655273,-1.533681,1.892889,5.785264,6.120010,6.168719,-18.211882,-13.841770,1.541190,-17.634280,-6.923816,-7.506347,0.961029,0.038942,0.000029
194,1,2,1,-27.237140,-8.049310,-1.463644,4.518523,-1.222907,2.162491,5.086425,6.407346,1.419913,-6.619856,-14.067655,-24.057191,0.979064,0.020932,0.000003
195,2,Noise,1,25.039956,-2.508730,-0.385763,0.607437,-6.288040,2.536565,-12.844475,-14.566820,1.571098,-33.593106,2.455968,27.001718,0.713440,0.286223,0.000337
196,1,2,1,-15.709207,4.658568,5.640800,-28.471005,-13.406550,18.543969,-5.621887,-3.480405,4.332312,-17.266365,-5.353746,-14.501164,0.866518,0.133335,0.000147
197,1,2,1,-13.071507,4.627545,1.841382,-5.863624,-7.601982,3.065004,-21.723075,-15.255228,-5.298046,7.296416,-4.880915,-12.393197,0.938123,0.061798,0.000079
198,1,2,1,-29.558002,9.736290,4.500931,-18.237836,-10.512696,14.013537,-9.650297,-9.664919,3.889873,2.139104,-4.767844,-29.337686,0.808689,0.191161,0.000150
199,2,Noise,2,28.665515,-20.516586,-4.413041,23.905159,-27.090365,13.510338,42.228572,-10.147836,5.308792,36.111506,-8.756584,33.954740,0.324804,0.674942,0.000254
2,3,Noise,3,12.416941,161.920884,-10.664050,43.488656,-141.829308,-103.002227,-95.153821,109.108480,20.457998,8.181322,136.500261,-34.134502,0.000000,0.000000,1.000000
20,1,2,1,-6.167766,-10.345450,1.301907,-3.094041,6.917658,-0.164843,-3.606551,4.768425,9.028833,-10.015531,-10.990292,-3.011223,0.961970,0.038016,0.000014
200,1,Noise,1,6.398497,-3.362028,1.051729,-16.598054,-4.271736,-8.913390,-0.706239,-19.292406,3.152698,19.106957,-2.455674,8.940612,0.928390,0.071536,0.000074
